REJECTION,PARTY,TYPE,PRECINCT
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128007
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128005
RECEIVED TOO LATE,REP,VOTE BY MAIL,117088
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,117059
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117010
NON-MATCHING SIGNATURE,REP,VOTE BY MAIL,107010
RECEIVED TOO LATE,REP,VOTE BY MAIL,117021
RECEIVED TOO LATE,REP,VOTE BY MAIL,114001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117021
RECEIVED TOO LATE,DEM,VOTE BY MAIL,112005
RECEIVED TOO LATE,REP,VOTE BY MAIL,128015
RECEIVED TOO LATE,REP,VOTE BY MAIL,103009
RECEIVED TOO LATE,AI,VOTE BY MAIL,117007
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117014
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117112
RECEIVED TOO LATE,DEM,VOTE BY MAIL,110008
NON-MATCHING SIGNATURE,NPP,VOTE BY MAIL,115001
VOTER ALREADY VOTED,REP,VOTE BY MAIL,103008
RECEIVED TOO LATE,NPP,VOTE BY MAIL,117088
RECEIVED TOO LATE,REP,VOTE BY MAIL,117029
RECEIVED TOO LATE,REP,VOTE BY MAIL,128001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,103008
RECEIVED TOO LATE,REP,VOTE BY MAIL,128008
RECEIVED TOO LATE,REP,VOTE BY MAIL,126002
RECEIVED TOO LATE,REP,VOTE BY MAIL,128013
RECEIVED TOO LATE,REP,VOTE BY MAIL,117080
RECEIVED TOO LATE,REP,VOTE BY MAIL,103010
RECEIVED TOO LATE,REP,VOTE BY MAIL,117029
